gender,SeniorCitizen,Partner,Dependents,tenure,Contract_One year,Contract_Two year,PaperlessBilling,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MonthlyCharges,TotalCharges,PhoneService,MultipleLines,InternetService_Fiber optic,InternetService_No,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
0.0,0.0,0.0,0.0,0.32080472019534106,1.0,0.0,0.0,0.0,0.0,1.0,0.9297626394769459,0.6217321332953432,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0.6598422334322744,1.0,0.0,0.0,0.0,1.0,0.0,-0.22654292301604043,0.22360787431020002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
0.0,0.0,1.0,1.0,0.7446016117415077,0.0,1.0,1.0,0.0,0.0,1.0,-1.5428508243989265,-0.6126001733216404,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,1.0,0.0,0.23604534188610776,0.0,1.0,0.0,1.0,0.0,0.0,-1.5016131081901896,-0.7157045421626613,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,1.0,1.1683985032876745,0.0,1.0,1.0,1.0,0.0,0.0,0.7664612832903477,1.3578437547035431,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,1.5498157056792243,0.0,1.0,0.0,0.0,0.0,0.0,1.6159582371903305,2.566202367040517,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0.0,0.0,0.0,0.0,-1.2896234676800922,0.0,0.0,1.0,0.0,1.0,0.0,-0.48881479810360784,-0.9849922516675849,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,-1.1624844002162422,0.0,0.0,0.0,0.0,0.0,1.0,-1.5148091773769854,-1.0306383297809756,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,-1.4167625351439423,0.0,0.0,0.0,0.0,0.0,1.0,-1.5098606514319368,-1.0813342385658813,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,1.0,1.0,0.9565000575145911,0.0,1.0,1.0,1.0,0.0,0.0,-0.35190558029060093,0.290463241243954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,1.2107781924422911,0.0,1.0,1.0,0.0,0.0,0.0,0.3276919828293852,1.0158384835288026,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
0.0,1.0,0.0,0.0,-1.1624844002162422,0.0,0.0,1.0,0.0,1.0,0.0,0.274907706082202,-0.8338266683050575,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
