Gender,Age,Married,Number of Dependents,Satisfaction Score,Tenure in Months,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Unlimited Data,Contract_One Year,Contract_Two Year,Avg Monthly Long Distance Charges,Paperless Billing,Payment Method_Credit Card,Payment Method_Mailed Check,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Referred a Friend,Number of Referrals,Phone Service,Multiple Lines,Internet Service,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Churn
1.0,-1.661560197500818,1.0,-0.5064419972567069,0.0,-0.11920223325716231,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1805392508233608,0.0,0.0,0.0,-0.1097183667992922,-0.13054171996525712,-0.25645967083628435,-0.2837820148407711,0.6464128762192284,1.0,-0.36575076444910853,1.0,1.0,1.0,0.0,0.0,0.0,2.458841033499936,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
0.0,-1.541848073565934,0.0,-0.5064419972567069,0.5,-0.9003339184723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9866574449529737,1.0,1.0,0.0,0.2807988091173318,-0.6246045780203233,-0.25645967083628435,-0.2837820148407711,-0.27655129760051667,0.0,-0.6917378560452884,1.0,0.0,1.0,0.0,1.0,0.0,2.9955737283282318,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,-0.8235753299566294,1.0,0.5329961123703084,0.5,0.8355142708946727,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9388332661716114,1.0,1.0,0.0,0.32346034934351753,0.7580467035722093,-0.25645967083628435,-0.2837820148407711,1.4619450273815673,1.0,1.2641846935317906,1.0,1.0,1.0,1.0,0.0,0.0,0.2631163728387272,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0
0.0,0.37354590939221144,0.0,-0.5064419972567069,0.5,-0.5965604853330798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6258211316390165,0.0,1.0,0.0,0.9617426242660669,-0.16722512666619468,-0.25645967083628435,-0.2837820148407711,0.3013038234010314,0.0,-0.6917378560452884,1.0,0.0,1.0,0.0,1.0,0.0,0.11673472879464658,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0
0.0,1.3910989628387262,1.0,-0.5064419972567069,0.5,1.5298535466414618,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4898594886981043,1.0,1.0,0.0,-0.034240257168347915,0.8854544380652217,-0.25645967083628435,0.8547524768334211,-0.9912726705574253,1.0,-0.36575076444910853,0.0,0.0,1.0,1.0,0.0,0.0,-0.6639673727737834,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
1.0,-0.16515864831476695,1.0,0.5329961123703084,0.75,1.4864573419072875,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.4898594886981043,0.0,0.0,0.0,-0.2065272465433291,0.6960651670061738,-0.25645967083628435,-0.2837820148407711,-0.9912726705574253,1.0,1.2641846935317906,0.0,0.0,1.0,0.0,0.0,0.0,-0.07844079659746091,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
0.0,-0.5242950201194192,0.0,-0.5064419972567069,0.75,0.8355142708946727,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.652964584460871,1.0,0.0,1.0,-1.4699651686265245,-0.5941170881828978,-0.25645967083628435,-0.2837820148407711,2.1832876447904517,0.0,-0.6917378560452884,1.0,0.0,0.0,0.0,0.0,0.0,-1.0055245422099715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.49325803332709556,1.0,2.611872331624339,0.5,-1.0739187374089973,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3614956029690553,1.0,0.0,0.0,-1.3321355771265397,-1.0082145932161033,-0.25645967083628435,-0.2837820148407711,-0.3740980820620155,1.0,1.9161588767241502,1.0,1.0,0.0,0.0,0.0,0.0,-1.0055245422099715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,-0.04544652437988287,1.0,1.5724342219973237,0.5,0.27136360935040654,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.4898594886981043,1.0,1.0,0.0,-0.1835556479599984,0.03303495881764309,-0.25645967083628435,3.5113329574065366,-0.9912726705574253,1.0,1.9161588767241502,0.0,0.0,1.0,1.0,0.0,0.0,-0.5175857287297028,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0
0.0,0.9122504670991899,0.0,-0.5064419972567069,1.0,0.44494842828710385,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2406426106431807,0.0,1.0,0.0,-1.4912959387396176,-0.6950411924723066,-0.25645967083628435,-0.2837820148407711,1.323540035518353,0.0,-0.6917378560452884,1.0,0.0,0.0,0.0,0.0,0.0,-1.0055245422099715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
